Plate #	Row	Column	ORF	Gene	Decription	GO Biological Process	GO Molecular Function	GO Cellular Component	96-position
6	I	23	YJL148W	RPA34	RNA polymerase I subunit A34.5	transcription, RNA metabolic process	transferase activity, nucleotidyltransferase activity	nucleus, nucleolus	21-E12
6	I	24	YLR247C	IRC20	"Putative helicase; localizes to the mitochondrion and the nucleus; YLR247C is not an essential gene; null mutant displays increased levels of spontaneous Rad52p foci"	biological_process	molecular_function	nucleus, mitochondrion, cytoplasm	22-E12
6	J	1	YDR181C	SAS4	"Subunit of the SAS complex (Sas2p, Sas4p, Sas5p), which  acetylates free histones and nucleosomes and regulates transcriptional silencing; required for the HAT activity of Sas2p"	transcription, RNA metabolic process	transferase activity	nucleus, chromosome	23-E1
6	J	2	YGL258W	VEL1	"Protein of unknown function; highly induced in zinc-depleted conditions and has increased expression in NAP1 deletion mutants"	biological_process	molecular_function	other	24-E1
6	J	3	YDR183W	PLP1	"Protein that interacts with CCT (chaperonin containing TCP-1) complex and has a role in actin and tubulin folding; has weak similarity to phosducins, which are G-protein regulators"	protein folding, transcription, response to chemical stimulus, RNA metabolic process	protein binding	cellular_component	23-E2
6	J	4	YGL259W	YPS5	Protein with similarity to GPI-anchored aspartic proteases such as Yap1p and Yap3p	biological_process	peptidase activity, hydrolase activity	cellular_component	24-E2
6	J	5	YDR184C	ATC1	Nuclear protein, possibly involved in regulation of cation stress responses and/or in the establishment of bipolar budding pattern	response to stress, cell budding, cytokinesis, cellular component morphogenesis, cell cycle	molecular_function	nucleus	23-E3
6	J	6	YGL260W	YGL260W	"Putative protein of unknown function; transcription is significantly increased in a NAP1 deletion background; deletion mutant has increased accumulation of nickel and selenium"	biological_process	molecular_function	cellular_component	24-E3
6	J	7	YDR185C	UPS3	"Mitochondrial protein of unknown function; similar to Ups1p and Ups2p which are involved in regulation of mitochondrial cardiolipin and phosphatidylethanolamine levels; null is viable but interacts synthetically with ups1 and ups2 mutations"	mitochondrion organization, cellular component morphogenesis	molecular_function	membrane, mitochondrial envelope, mitochondrion, cytoplasm	23-E4
6	J	8	YGL261C	PAU11	"Putative protein of unknown function and member of the seripauperin multigene family encoded mainly in subtelomeric regions; mRNA expression appears to be regulated by SUT1 and UPC2"	biological_process	molecular_function	cellular_component	24-E4
6	J	9	YDR186C	YDR186C	"Putative protein of unknown function; may interact with ribosomes, based on co-purification experiments; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm"	biological_process	molecular_function	ribosome, cytoplasm	23-E5
6	J	10	YGL262W	YGL262W	"Putative protein of unknown function; null mutant displays elevated sensitivity to expression of a mutant huntingtin fragment or of alpha-synuclein; YGL262W is not an essential gene"	biological_process	molecular_function	cellular_component	24-E5
6	J	11	YDR191W	HST4	"Member of the Sir2 family of NAD(+)-dependent protein deacetylases; involved along with Hst3p in silencing at telomeres, cell cycle progression, radiation resistance, genomic stability and short-chain fatty acid metabolism"	transcription, protein modification process, cellular lipid metabolic process, chromosome organization, RNA metabolic process	hydrolase activity, DNA binding	nucleus, cytoplasm	23-E6
6	J	12	YGL263W	COS12	Protein of unknown function, member of the DUP380 subfamily of conserved, often subtelomerically-encoded proteins	biological_process	molecular_function	cellular_component	24-E6
6	J	13	YDR192C	NUP42	"Subunit of the nuclear pore complex (NPC) that localizes exclusively to the cytoplasmic side; involved in RNA export, most likely at a terminal step; interacts with Gle1p"	transport, ribosome biogenesis, nucleus organization	structural molecule activity	nucleus, membrane, endomembrane system	23-E7
6	J	14	YGR001C	YGR001C	"Putative protein of unknown function with similarity to methyltransferase family members; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; required for replication of Brome mosaic virus in S. cerevisiae"	biological_process	transferase activity	cytoplasm	24-E7
6	J	15	YDR193W	YDR193W	Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data	biological_process	molecular_function	cellular_component	23-E8
6	J	16	YGR003W	CUL3	"Ubiquitin-protein ligase, member of the cullin family with similarity to Cdc53p and human CUL3; required for ubiquitin-dependent degredation of the RNA Polymerase II subunit RPO21"	protein modification process, cellular protein catabolic process	protein binding, ligase activity	nucleus, cytoplasm	24-E8
6	J	17	YDR194C	MSS116	"DEAD-box protein required for efficient splicing of mitochondrial Group I and II introns; non-polar RNA helicase that also facilities strand annealing"	RNA metabolic process	RNA binding, helicase activity, hydrolase activity	mitochondrion, cytoplasm	23-E9
6	J	18	YGR004W	PEX31	"Peroxisomal integral membrane protein, involved in negative regulation of peroxisome size; partially functionally redundant with Pex30p and Pex32p; probably acts at a step downstream of steps mediated by Pex28p and Pex29p"	peroxisome organization	molecular_function	peroxisome, membrane, cytoplasm	24-E9
6	J	19	YDR195W	REF2	"RNA-binding protein involved in the cleavage step of mRNA 3'-end formation prior to polyadenylation, and in snoRNA maturation; part of holo-CPF subcomplex APT, which associates with 3'-ends of snoRNA- and mRNA-encoding genes"	transcription, RNA metabolic process	RNA binding, DNA binding	nucleus	23-E10
6	J	20	YGR006W	PRP18	Splicing factor involved in the positioning of the 3' splice site during the second catalytic step of splicing, part of snRNP U5, interacts with Slu7p	RNA metabolic process	other	nucleus	24-E10
6	J	21	YDR197W	CBS2	"Mitochondrial translational activator of the COB mRNA; interacts with translating ribosomes, acts on the COB mRNA 5'-untranslated leader"	translation	molecular_function	membrane, mitochondrial envelope, mitochondrion, cytoplasm	23-E11
6	J	22	YGR007W	MUQ1	"Choline phosphate cytidylyltransferase, catalyzes the second step of phosphatidylethanolamine biosynthesis; involved in the maintenance of plasma membrane; similar to mammalian CTP: phosphocholine cytidylyl-transferases"	cellular lipid metabolic process, cellular amino acid and derivative metabolic process	transferase activity, nucleotidyltransferase activity	nucleus, cytoplasm	24-E11
6	J	23	YDR198C	RKM2	Ribosomal protein lysine methyltransferase, responsible for trimethylation of the lysine residue at position 3 of Rpl12Ap and Rpl12Bp	protein modification process	transferase activity	cellular_component	23-E12
6	J	24	YGR008C	STF2	"Protein involved in regulation of the mitochondrial F1F0-ATP synthase; Stf1p and Stf2p may act as stabilizing factors that enhance inhibitory action of the Inh1p protein"	other	molecular_function	membrane, mitochondrial envelope, mitochondrion, cytoplasm	24-E12
6	K	1	YJL147C	YJL147C	"Mitochondrial protein of unknown function; homozygous diploid deletion strain has a sporulation defect characterized by elevated dityrosine in the soluble fraction; expression induced by calcium shortage; YJL147W is a non-essential gene"	biological_process	molecular_function	mitochondrion, cytoplasm	21-F1
6	K	2	YLR248W	RCK2	"Protein kinase involved in the response to oxidative and osmotic stress; identified as suppressor of S. pombe cell cycle checkpoint mutations"	response to stress, meiosis, cell cycle, response to chemical stimulus, protein modification process	transferase activity, protein kinase activity	cytoplasm	22-F1
6	K	3	YJL146W	IDS2	"Protein involved in modulation of Ime2p activity during meiosis, appears to act indirectly to promote Ime2p-mediated late meiotic functions; found in growing cells and degraded during sporulation"	meiosis, cell cycle	molecular_function	nucleus, cytoplasm	21-F2
6	K	4	YLR250W	SSP120	"Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern"	biological_process	molecular_function	cytoplasm	22-F2
6	K	5	YJL145W	SFH5	"Non-classical phosphatidylinositol transfer protein (PITP); exhibits PI- but not PC-transfer activity; localizes to the peripheral endoplasmic reticulum, cytosol and microsomes; similar to Sec14p"	transport	transporter activity	membrane fraction, endoplasmic reticulum, cytoplasm	21-F3
6	K	6	YLR251W	SYM1	"Protein required for ethanol metabolism; induced by heat shock and localized to the inner mitochondrial membrane; homologous to mammalian peroxisomal membrane protein Mpv17"	other	molecular_function	membrane, mitochondrial envelope, mitochondrion, cytoplasm	22-F3
6	K	7	YJL144W	YJL144W	"Cytoplasmic hydrophilin of unknown function, possibly involved in the dessication response; expression induced by osmotic stress, starvation and during stationary phase; GFP-fusion protein is induced by the DNA-damaging agent MMS"	response to stress, response to chemical stimulus	molecular_function	cytoplasm	21-F4
6	K	8	YLR252W	YLR252W	"Dubious open reading frame unlikely to encode a protein, based on experimental and comparative sequence data; partially overlaps the verified gene SYM1, a mitochondrial protein involved in ethanol metabolism"	biological_process	molecular_function	cellular_component	22-F4
6	K	9	YJL142C	IRC9	"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps verified gene YJL141C; null mutant displays increased levels of spontaneous Rad52p foci"	DNA metabolic process	molecular_function	cellular_component	21-F5
6	K	10	YLR253W	YLR253W	"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; transcription is periodic during the metabolic cycle; YLR253W is not an essential gene"	biological_process	molecular_function	mitochondrion, cytoplasm	22-F5
6	K	11	YJL140W	RPB4	"RNA polymerase II subunit B32; forms two subunit dissociable complex with Rpb7p; involved recruitment of 3'-end processing factors to transcribing RNA polymerase II complex and in export of mRNA to cytoplasm under stress conditions"	transport, transcription, protein complex biogenesis, response to stress, RNA metabolic process	RNA binding, DNA binding	nucleus, cytoplasm	21-F6
6	K	12	YLR254C	NDL1	"Homolog of nuclear distribution factor NudE, NUDEL; interacts with Pac1p and regulates dynein targeting to microtubule plus ends"	transport	protein binding	nucleus, cytoskeleton, cytoplasm	22-F6
6	K	13	YJL139C	YUR1	"Mannosyltransferase of the KTR1 family, involved in protein N-glycosylation; located in the Golgi apparatus"	cellular carbohydrate metabolic process, protein modification process	transferase activity	cytoplasm, Golgi apparatus	21-F7
6	K	14	YLR255C	YLR255C	Dubious ORF unlikely to encode a functional protein, based on available experimental and comparative sequence data	biological_process	molecular_function	cellular_component	22-F7
6	K	15	YJL138C	TIF2	"Translation initiation factor eIF4A, identical to Tif1p; DEA(D/H)-box RNA helicase that couples ATPase activity to RNA binding and unwinding; forms a dumbbell structure of two compact domains connected by a linker; interacts with eIF4G"	translation	helicase activity, hydrolase activity	membrane fraction, ribosome, cytoplasm	21-F8
6	K	16	YLR257W	YLR257W	Putative protein of unknown function	biological_process	molecular_function	cytoplasm	22-F8
6	K	17	YJL135W	YJL135W	"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified genes YJL134W/LCB3"	biological_process	molecular_function	cellular_component	21-F9
6	K	18	YLR258W	GSY2	"Glycogen synthase, similar to Gsy1p; expression induced by glucose limitation, nitrogen starvation, heat shock, and stationary phase; activity regulated by cAMP-dependent, Snf1p and Pho85p kinases as well as by the Gac1p-Glc7p phosphatase"	cellular carbohydrate metabolic process, generation of precursor metabolites and energy	transferase activity	cytoplasm	22-F9
6	K	19	YJL134W	LCB3	Long-chain base-1-phosphate phosphatase with specificity for dihydrosphingosine-1-phosphate, regulates ceramide and long-chain base phosphates levels, involved in incorporation of exogenous long chain bases in sphingolipids	cellular lipid metabolic process, signal transduction	hydrolase activity	endoplasmic reticulum, cytoplasm	21-F10
6	K	20	YLR260W	LCB5	Minor sphingoid long-chain base kinase, paralog of Lcb4p responsible for few percent of the total activity, possibly involved in synthesis of long-chain base phosphates, which function as signaling molecules	response to stress, cellular lipid metabolic process, signal transduction	transferase activity	membrane fraction	22-F10
6	K	21	YJL133W	MRS3	"Iron transporter that mediates Fe2+ transport across the inner mitochondrial membrane; mitochondrial carrier family member, similar to and functionally redundant with Mrs4p; active under low-iron conditions; may transport other cations"	transport, RNA metabolic process	transporter activity	mitochondrion, cytoplasm	21-F11
6	K	22	YLR261C	VPS63	"Dubious open reading frame, unlikely to encode a protein; not conserved in closely related Saccharomyces species; 98% of ORF overlaps the verified gene YPT6; deletion causes a vacuolar protein sorting defect"	transport	molecular_function	cellular_component	22-F11
6	K	23	YJL132W	YJL132W	"Putative protein of unknown function; localizes to the membrane fraction; possible Zap1p-regulated target gene induced by zinc deficiency; YJL132W is a non-essential gene"	biological_process	molecular_function	membrane fraction	21-F12
6	K	24	YLR262C	YPT6	"GTPase, Ras-like GTP binding protein involved in the secretory pathway, required for fusion of endosome-derived vesicles with the late Golgi, maturation of the vacuolar carboxypeptidase Y; has similarity to the human GTPase, Rab6"	transport, vesicle-mediated transport	hydrolase activity	cytoplasm, Golgi apparatus	22-F12
6	L	1	YDR199W	YDR199W	"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified gene VPS64; computationally predicted to have thiol-disulfide oxidoreductase activity"	biological_process	molecular_function	cellular_component	23-F1
6	L	2	YGR010W	NMA2	Nicotinic acid mononucleotide adenylyltransferase, involved in de novo and salvage synthesis of NAD(+)	cofactor metabolic process	transferase activity, nucleotidyltransferase activity	nucleus	24-F1
6	L	3	YDR200C	VPS64	"Protein required for cytoplasm to vacuole targeting of proteins; forms a complex with Far3p and Far7p to Far11p involved in recovery from pheromone-induced cell cycle arrest; localizes to the cytoplasm and endoplasmic reticulum membrane"	transport, signal transduction, response to chemical stimulus, conjugation, cell cycle	molecular_function	endomembrane system, membrane, endoplasmic reticulum, cytoplasm	23-F2
6	L	4	YGR011W	YGR011W	Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data	biological_process	molecular_function	cellular_component	24-F2
6	L	5	YDR203W	YDR203W	Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data	biological_process	molecular_function	cellular_component	23-F3
6	L	6	YGR012W	YGR012W	Putative cysteine synthase, localized to the mitochondrial outer membrane	cellular amino acid and derivative metabolic process	lyase activity	membrane, mitochondrial envelope, mitochondrion, cytoplasm	24-F3
6	L	7	YDR204W	COQ4	"Protein with a role in ubiquinone (Coenzyme Q) biosynthesis, possibly functioning in stabilization of Coq7p; located on the matrix face of the mitochondrial inner membrane; component of a mitochondrial ubiquinone-synthesizing complex"	cofactor metabolic process	molecular_function	membrane, mitochondrial envelope, mitochondrion, cytoplasm	23-F4
6	L	8	YGR014W	MSB2	"Mucin family member involved in the Cdc42p- and MAP kinase-dependent filamentous growth signaling pathway; also functions as an osmosensor in parallel to the Sho1p-mediated pathway; potential Cdc28p substrate"	response to stress, cellular component morphogenesis, signal transduction	signal transducer activity	membrane, site of polarized growth, plasma membrane	24-F4
6	L	9	YDR206W	EBS1	"Protein involved in inhibition of translation and nonsense-mediated decay; interacts with cap binding protein Cdc33p and with Nam7p; localizes to P-bodies upon glucose starvation; mRNA abundance regulated by mRNA decay factors"	translation, chromosome organization, DNA metabolic process, RNA metabolic process	molecular_function	cytoplasm	23-F5
6	L	10	YGR015C	YGR015C	"Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the mitochondrion"	biological_process	molecular_function	mitochondrion, cytoplasm	24-F5
6	L	11	YDR207C	UME6	Key transcriptional regulator of early meiotic genes, binds URS1 upstream regulatory sequence, couples metabolic responses to nutritional cues with initiation and progression of meiosis, forms complex with Ime1p, and also with Sin3p-Rpd3p	transcription, response to chemical stimulus, protein modification process, meiosis, sporulation resulting in formation of a cellular spore, chromosome organization, cell cycle, DNA metabolic process, RNA metabolic process	transcription regulator activity, hydrolase activity, DNA binding	nucleus, chromosome	23-F6
6	L	12	YGR016W	YGR016W	Putative protein of unknown function	biological_process	molecular_function	cellular_component	24-F6
6	L	13	YDR209C	YDR209C	"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps uncharacterized gene YDR210W."	biological_process	molecular_function	cellular_component	23-F7
6	L	14	YGR017W	YGR017W	"Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to both the nucleus and the cytoplasm"	biological_process	molecular_function	nucleus, cytoplasm	24-F7
6	L	15	YDR210W	YDR210W	"Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery"	biological_process	molecular_function	cellular_component	23-F8
6	L	16	YGR018C	YGR018C	"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YGR017W"	biological_process	molecular_function	cellular_component	24-F8
6	L	17	YDR213W	UPC2	"Sterol regulatory element binding protein, induces transcription of sterol biosynthetic genes and of DAN/TIR gene products; Ecm22p homolog; relocates from intracellular membranes to perinuclear foci on sterol depletion"	other	transcription regulator activity	nucleus, membrane, cytoplasm	23-F9
6	L	18	YGR019W	UGA1	"Gamma-aminobutyrate (GABA) transaminase (4-aminobutyrate aminotransferase) involved in the 4-aminobutyrate and glutamate degradation pathways; required for normal oxidative stress tolerance and nitrogen utilization"	cellular amino acid and derivative metabolic process	transferase activity	other	24-F9
6	L	19	YDR214W	AHA1	"Co-chaperone that binds to Hsp82p and activates its ATPase activity; similar to Hch1p; expression is regulated by stresses such as heat shock"	response to stress, protein folding	protein binding, enzyme regulator activity	cytoplasm	23-F10
6	L	20	YGR020C	VMA7	"Subunit F of the eight-subunit V1 peripheral membrane domain of vacuolar H+-ATPase (V-ATPase), an electrogenic proton pump found throughout the endomembrane system; required for the V1 domain to assemble onto the vacuolar membrane"	cellular homeostasis	transporter activity, hydrolase activity	membrane, vacuole, cytoplasm	24-F10
6	L	21	YDR215C	YDR215C	"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; null mutant displays elevated sensitivity to expression of a mutant huntingtin fragment or of alpha-synuclein"	biological_process	molecular_function	cellular_component	23-F11
6	L	22	YGR021W	YGR021W	"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"	biological_process	molecular_function	mitochondrion, cytoplasm	24-F11
6	L	23	YDR216W	ADR1	Carbon source-responsive zinc-finger transcription factor, required for transcription of the glucose-repressed gene ADH2, of peroxisomal protein genes, and of genes required for ethanol, glycerol, and fatty acid utilization	transcription, peroxisome organization, response to chemical stimulus, RNA metabolic process	transcription regulator activity, DNA binding	nucleus	23-F12
6	L	24	YGR022C	YGR022C	"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; overlaps almost completely with the verified ORF MTL1/YGR023W"	biological_process	molecular_function	cellular_component	24-F12
6	M	1	YJL131C	AIM23	"Putative protein of unknown function; the authentic non-tagged protein is detected in highly purified mitochondria; null mutant is viable, displays severe respiratory growth defect and elevated frequency of mitochondrial genome loss"	biological_process	molecular_function	mitochondrion, cytoplasm	21-G1
6	M	2	YLR263W	RED1	"Protein component of the axial elements of the synaptonemal complex, involved in chromosome segregation during the first meiotic division; interacts with Hop1p; required for wild-type levels of Mek1p kinase activity"	meiosis, chromosome organization, cell cycle	DNA binding, structural molecule activity, protein binding	nucleus, chromosome	22-G1
6	M	3	YJL130C	URA2	"Bifunctional carbamoylphosphate synthetase (CPSase)-aspartate transcarbamylase (ATCase), catalyzes the first two enzymatic steps in the de novo biosynthesis of pyrimidines; both activities are subject to feedback inhibition by UTP"	cellular amino acid and derivative metabolic process, heterocycle metabolic process, cellular aromatic compound metabolic process	transferase activity, ligase activity	mitochondrion, membrane, cytoplasm	21-G2
6	M	4	YLR264W	RPS28B	"Protein component of the small (40S) ribosomal subunit; nearly identical to Rps28Ap and has similarity to rat S28 ribosomal protein"	transport, translation, ribosome biogenesis	structural molecule activity	ribosome, cytoplasm	22-G2
6	M	5	YJL129C	TRK1	"Component of the Trk1p-Trk2p potassium transport system; 180 kDa high affinity potassium transporter; phosphorylated in vivo and interacts physically with the phosphatase Ppz1p, suggesting Trk1p acitivy is regulated by phosphorylation"	cellular homeostasis	transporter activity	membrane	21-G3
6	M	6	YLR265C	NEJ1	"Protein involved in regulation of nonhomologous end joining; interacts with DNA ligase IV components Dnl4p and Lif1p; repressed by MAT heterozygosity; regulates cellular distribution of Lif1p"	response to stress, DNA metabolic process	molecular_function	nucleus	22-G3
6	M	7	YLR324W	PEX30	"Peroxisomal integral membrane protein, involved in negative regulation of peroxisome number; partially functionally redundant with Pex31p; genetic interactions suggest action at a step downstream of steps mediated by Pex28p and Pex29p"	peroxisome organization	molecular_function	peroxisome, membrane, cytoplasm	21-G4
6	M	8	YLR266C	PDR8	"Transcription factor; targets include ATP-binding cassette (ABC) transporters, major facilitator superfamily transporters, and other genes involved in the pleiotropic drug resistance (PDR) phenomenon"	response to stress, transcription, RNA metabolic process	transcription regulator activity, DNA binding	nucleus	22-G4
6	M	9	YLR325C	RPL38	Protein component of the large (60S) ribosomal subunit, has similarity to rat L38 ribosomal protein	translation	structural molecule activity	ribosome, cytoplasm	21-G5
6	M	10	YLR267W	BOP2	Protein of unknown function	biological_process	molecular_function	cellular_component	22-G5
6	M	11	YLR326W	YLR326W	Putative protein of unknown function, predicted to be palmitoylated	biological_process	molecular_function	cellular_component	21-G6
6	M	12	YLR268W	SEC22	"R-SNARE protein; assembles into SNARE complex with Bet1p, Bos1p and Sed5p; cycles between the ER and Golgi complex; involved in anterograde and retrograde transport between the ER and Golgi; synaptobrevin homolog"	transport, vesicle organization, vesicle-mediated transport, cellular membrane organization	protein binding	membrane, endoplasmic reticulum, Golgi apparatus, cytoplasm	22-G6
6	M	13	YLR327C	TMA10	Protein of unknown function that associates with ribosomes	biological_process	molecular_function	nucleus, ribosome, cytoplasm	21-G7
6	M	14	YLR269C	YLR269C	Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data	sporulation resulting in formation of a cellular spore, transcription, RNA metabolic process	molecular_function	cellular_component	22-G7
6	M	15	YLR328W	NMA1	Nicotinic acid mononucleotide adenylyltransferase, involved in pathways of NAD biosynthesis, including the de novo, NAD(+) salvage, and nicotinamide riboside salvage pathways	cofactor metabolic process	transferase activity, nucleotidyltransferase activity	nucleus, cytoplasm	21-G8
6	M	16	YLR270W	DCS1	"Non-essential hydrolase involved in mRNA decapping, may function in a feedback mechanism to regulate deadenylation, contains pyrophosphatase activity and a HIT (histidine triad) motif; interacts with neutral trehalase Nth1p"	RNA metabolic process	hydrolase activity	nucleus, mitochondrion, cytoplasm	22-G8
6	M	17	YLR329W	REC102	"Protein involved in early stages of meiotic recombination; required for chromosome synapsis; forms a complex with Rec104p and Spo11p necessary during the initiation of recombination"	meiosis, cell cycle, DNA metabolic process	protein binding	nucleus, chromosome	21-G9
6	M	18	YLR271W	YLR271W	"Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and the nucleus and is induced in response to the DNA-damaging agent MMS"	biological_process	molecular_function	nucleus, cytoplasm	22-G9
6	M	19	YLR330W	CHS5	Component of the exomer complex, which also contains Csh6p, Bch1p, Bch2p, and Bud7p and is involved in export of selected proteins, such as chitin synthase Chs3p, from the Golgi to the plasma membrane	transport, cytokinesis, vesicle-mediated transport, sporulation resulting in formation of a cellular spore, conjugation, cellular component morphogenesis, cell cycle	molecular_function	endomembrane system, cytoplasmic membrane-bounded vesicle, membrane, site of polarized growth, Golgi apparatus, cytoplasm	21-G10
6	M	20	YLR273C	PIG1	Putative targeting subunit for the type-1 protein phosphatase Glc7p that tethers it to the Gsy2p glycogen synthase	cellular carbohydrate metabolic process, generation of precursor metabolites and energy	enzyme regulator activity	cytoplasm	22-G10
6	M	21	YLR331C	JIP3	"Dubious open reading frame, unlikely to encode a protein; not conserved in closely related Saccharomyces species; 98% of ORF overlaps the verified gene MID2"	biological_process	molecular_function	cellular_component	21-G11
6	M	22	YLR278C	YLR278C	"Zinc-cluster protein; GFP-fusion protein localizes to the nucleus; mutant shows moderate growth defect on caffeine; has a prion-domain like fragment that increases frequency of [URE3]; YLR278C is not an essential gene"	biological_process	DNA binding	nucleus	22-G11
6	M	23	YLR332W	MID2	"O-glycosylated plasma membrane protein that acts as a sensor for cell wall integrity signaling and activates the pathway; interacts with Rom2p, a guanine nucleotide exchange factor for Rho1p, and with cell integrity pathway protein Zeo1p"	fungal-type cell wall organization, response to chemical stimulus, response to stress, cellular component morphogenesis, RNA metabolic process	signal transducer activity	membrane, site of polarized growth, plasma membrane	21-G12
6	M	24	YLR279W	YLR279W	Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data	biological_process	molecular_function	cellular_component	22-G12
6	N	1	YDR217C	RAD9	"DNA damage-dependent checkpoint protein, required for cell-cycle arrest in G1/S, intra-S, and G2/M; transmits checkpoint signal by activating Rad53p and Chk1p; hyperphosphorylated by Mec1p and Tel1p; potential Cdc28p substrate"	transcription, signal transduction, response to stress, cell cycle, DNA metabolic process, RNA metabolic process	DNA binding, protein binding	nucleus, chromosome	23-G1
6	N	2	YGR023W	MTL1	"Protein with both structural and functional similarity to Mid2p, which is a plasma membrane sensor required for cell integrity signaling during pheromone-induced morphogenesis; suppresses rgd1 null mutations"	fungal-type cell wall organization	molecular_function	membrane, plasma membrane	24-G1
6	N	3	YDR218C	SPR28	"Sporulation-specific homolog of the yeast CDC3/10/11/12 family of bud neck microfilament genes; meiotic septin expressed at high levels during meiotic divisions and ascospore formation"	fungal-type cell wall organization, cellular component morphogenesis	structural molecule activity	cell cortex, cytoskeleton, cellular bud, site of polarized growth, cytoplasm	23-G2
6	N	4	YGR025W	YGR025W	Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data	biological_process	molecular_function	cellular_component	24-G2
6	N	5	YDR219C	MFB1	"Mitochondria-associated F-box protein involved in maintenance of normal mitochondrial morphology; interacts with Skp1p through the F-box motif; preferentially localizes to the mother cell during budding"	mitochondrion organization, cellular protein catabolic process	protein binding	membrane, mitochondrial envelope, mitochondrion, cytoplasm	23-G3
6	N	6	YGR026W	YGR026W	"Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery"	biological_process	molecular_function	cellular_component	24-G3
6	N	7	YDR220C	YDR220C	Dubious open reading frame, null mutant exhibits synthetic phenotype with alpha-synuclein	biological_process	molecular_function	cellular_component	23-G4
6	N	8	YPL091W	GLR1	"Cytosolic and mitochondrial glutathione oxidoreductase, converts oxidized glutathione to reduced glutathione; mitochondrial but not cytosolic form has a role in resistance to hyperoxia"	response to stress, response to chemical stimulus, protein modification process	oxidoreductase activity	nucleus, mitochondrion, cytoplasm	24-G4
6	N	9	YDR221W	GTB1	Glucosidase II beta subunit, forms a complex with alpha subunit Rot2p, involved in removal of two glucose residues from N-linked glycans during glycoprotein biogenesis in the ER	cellular carbohydrate metabolic process, protein modification process	hydrolase activity	endoplasmic reticulum, cytoplasm	23-G5
6	N	10	YPL090C	RPS6A	"Protein component of the small (40S) ribosomal subunit; identical to Rps6Bp and has similarity to rat S6 ribosomal protein"	translation, ribosome biogenesis, RNA metabolic process	structural molecule activity	ribosome, cytoplasm	24-G5
6	N	11	YDR222W	YDR222W	"Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern"	biological_process	molecular_function	cytoplasm	23-G6
6	N	12	YPL089C	RLM1	"MADS-box transcription factor, component of the protein kinase C-mediated MAP kinase pathway involved in the maintenance of cell integrity; phosphorylated and activated by the MAP-kinase Slt2p"	fungal-type cell wall organization, transcription, signal transduction, response to chemical stimulus, RNA metabolic process	transcription regulator activity, DNA binding, protein binding	nucleus	24-G6
6	N	13	YDR223W	CRF1	"Transcriptional corepressor involved in repression of ribosomal protein (RP) gene transcription via the TOR signaling pathway which promotes accumulation of Crf1p in the nucleus; role in repression of RP genes varies by strain"	transcription, RNA metabolic process	transcription regulator activity, protein binding	nucleus, chromosome, cytoplasm	23-G7
6	N	14	YPL088W	YPL088W	"Putative aryl alcohol dehydrogenase; transcription is activated by paralogous transcription factors Yrm1p and Yrr1p along with genes involved in multidrug resistance"	other	oxidoreductase activity	cellular_component	24-G7
6	N	15	YDR225W	HTA1	"Histone H2A, core histone protein required for chromatin assembly and chromosome function; one of two nearly identical subtypes (see also HTA2); DNA damage-dependent phosphorylation by Mec1p facilitates DNA repair; acetylated by Nat4p"	response to stress, chromosome organization, transcription, DNA metabolic process, RNA metabolic process	DNA binding	nucleus, chromosome	23-G8
6	N	16	YPL087W	YDC1	"Alkaline dihydroceramidase, involved in sphingolipid metabolism; preferentially hydrolyzes dihydroceramide to a free fatty acid and dihydrosphingosine; has a minor reverse activity"	cellular lipid metabolic process	hydrolase activity	endoplasmic reticulum, cytoplasm	24-G8
